session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250330235056,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,1,True
20250330235056,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250330235142,2,1,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'Q', 'player2_card': -1, 'pot': 3, 'chips': '9;8', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,3,False
20250330235142,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'Q', 'player2_card': -1, 'pot': 5, 'chips': '9;6', 'betting_history': 'bet,raise', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",4,-3,True
20250330235314,2,2,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'Q', 'player2_card': -1, 'pot': 6, 'chips': '8;6', 'betting_history': 'bet,raise,call', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",2,3,True
20250331002017,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,1,True
20250331002017,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250331002059,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 2, 'chips': '10;8', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,8,False
20250331002059,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 3, 'chips': '10;7', 'betting_history': 'check,bet', 'highest_bet': 1, 'last_bettor': 1}","[0, 1]",1,-8,False
20250331002114,2,1,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 7, 'chips': '6;7', 'betting_history': 'check,bet,raise', 'highest_bet': 4, 'last_bettor': 0}","[2, 3, 4]",4,8,False
20250331002114,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 13, 'chips': '6;1', 'betting_history': 'check,bet,raise,raise', 'highest_bet': 7, 'last_bettor': 1}","[2, 3, 4]",4,-8,False
20250331002138,2,1,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 19, 'chips': '0;1', 'betting_history': 'check,bet,raise,raise,raise', 'highest_bet': 10, 'last_bettor': 0}","[2, 3, 4]",4,8,True
20250331002138,2,2,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 19, 'chips': '0;1', 'betting_history': 'check,bet,raise,raise,raise,fold', 'highest_bet': 10, 'last_bettor': 0}",[3],3,-8,True
20250331002451,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,9,False
20250331002451,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 3, 'chips': '9;8', 'betting_history': 'check,bet', 'highest_bet': 1, 'last_bettor': 1}","[0, 1]",1,-9,False
20250331002512,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 7, 'chips': '5;8', 'betting_history': 'check,bet,raise', 'highest_bet': 4, 'last_bettor': 0}","[2, 3, 4]",4,9,False
20250331002512,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 14, 'chips': '5;1', 'betting_history': 'check,bet,raise,raise', 'highest_bet': 8, 'last_bettor': 1}","[2, 3, 4]",4,-9,False
20250331002533,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 19, 'chips': '0;1', 'betting_history': 'check,bet,raise,raise,raise', 'highest_bet': 9, 'last_bettor': 0}","[2, 3, 4]",4,9,True
20250331002533,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 19, 'chips': '0;1', 'betting_history': 'check,bet,raise,raise,raise,fold', 'highest_bet': 9, 'last_bettor': 0}","[2, 3]",3,-9,True
20250331011314,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250331011314,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,1,True
20250331011335,2,1,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 3, 'chips': '7;10', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,-2,True
20250331011335,2,2,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': -1, 'pot': 4, 'chips': '7;9', 'betting_history': 'bet,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,2,True
20250331011352,3,1,first,0,"{'round': 3, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': -1, 'pot': 3, 'chips': '5;12', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250331011352,3,2,first,1,"{'round': 3, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': -1, 'pot': 4, 'chips': '5;11', 'betting_history': 'bet,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-2,True
20250331011414,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 3, 'chips': '9;9;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-3,False
20250331011414,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 4, 'chips': '9;8;9', 'betting_history': 'check,bet', 'highest_bet': 1, 'last_bettor': 1}","[0, 1]",1,4,False
20250331011414,1,2,first,2,"{'round': 1, 'stage': 'first', 'current_player': 2, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 4, 'chips': '9;8;9', 'betting_history': 'check,bet,fold', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",3,-1,True
20250331011442,1,3,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 4, 'chips': '9;8;9', 'betting_history': 'check,bet,fold', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",4,-3,False
20250331011442,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 5, 'chips': '9;7;9', 'betting_history': 'check,bet,fold,bet', 'highest_bet': 2, 'last_bettor': 1}","[0, 1]",1,4,False
20250331011603,1,2,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 5, 'chips': '9;7;9', 'betting_history': 'check,bet,fold,bet', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",4,-3,False
20250331011603,1,3,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 5, 'chips': '9;7;9', 'betting_history': 'check,bet,fold,bet,check', 'highest_bet': 2, 'last_bettor': 1}","[0, 1]",0,4,True
20250331011613,1,4,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 7, 'chips': '7;7;9', 'betting_history': 'check,bet,fold,bet,check,call', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",2,-3,True
20250331011613,1,0,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 7, 'chips': '7;7;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,4,True
20250331011617,1,1,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'K', 'player2_card': 'A', 'pot': 7, 'chips': '7;7;9', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-3,True
20250331012017,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '8;9;9', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,3,True
20250331012017,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 5, 'chips': '8;8;9', 'betting_history': 'bet,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-2,True
20250331012017,1,3,first,2,"{'round': 1, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 5, 'chips': '8;8;9', 'betting_history': 'bet,call,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250331012228,1,1,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 6, 'chips': '7;8;9', 'betting_history': 'bet', 'highest_bet': 2, 'last_bettor': 0}","[0, 1]",1,3,True
20250331012228,1,2,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 6, 'chips': '7;8;9', 'betting_history': 'bet,fold', 'highest_bet': 2, 'last_bettor': 0}","[2, 3, 4]",3,-2,True
20250331012328,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 3, 'chips': '12;7;8', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250331012328,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 3, 'chips': '12;7;8', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,2,True
20250331012328,2,2,first,2,"{'round': 2, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 3, 'chips': '12;7;8', 'betting_history': 'check,check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,True
20250331012340,3,1,first,0,"{'round': 3, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '10;9;7', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,10,False
20250331012340,3,1,first,1,"{'round': 3, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 10, 'chips': '10;3;7', 'betting_history': 'bet,raise', 'highest_bet': 6, 'last_bettor': 1}","[2, 3, 4]",4,-9,False
20250331012340,3,2,first,2,"{'round': 3, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 10, 'chips': '10;3;7', 'betting_history': 'bet,raise,fold', 'highest_bet': 6, 'last_bettor': 1}","[2, 3, 4]",3,-1,True
